project,previous_name,permittee,subwatershed,project_type,description,latitude,longitude,required_completion_date,actual_completion_date,capital_costs,cum_om_costs,funding_sources,project_footprint,drainage,projected_storage_capacity,actual_storage_24,actual_storage,cum_volume,WMG,Latitude,Longitude,cum_volume_raw,cum_volume_clean
Del Amo Boulevard Rehabilitation Project Phase 2,Not Applicable,Cerritos,Coyote Creek,"Green Street, Bioretention",3 Infiltration trenches,33.846299000000002,-118.07775700000001,Not Applicable,2020-01-10T00:00:00Z,0,0,Not Applicable,0.00 ac,1.98 ac,Not Applicable,0.06 ac-ft,0.05 ac-ft,2.118633,Lower San Gabriel River,33.846299,-118.077757,2.118633,2.118633
Florence Ave Widening Project,Not Applicable,Santa Fe Springs,San Gabriel River,"LID Retrofit, Bioretention",Bioretention,33.935198,-118.08834299999999,Not Applicable,2020-09-01T00:00:00Z,150000,0,Not Applicable,0.00 ac,0.47 ac,Not Applicable,0.04 ac-ft,0.04 ac-ft,0,Lower San Gabriel River,33.935198,-118.088343,0,0
Grand Avenue & Golden Springs Drive Widening Green Street Project,Not Applicable,Diamond Bar,San Gabriel River,"Green Street, Biofiltration",3 biofiltration planters,34.006667999999998,-117.821715,Not Applicable,2024-05-31T00:00:00Z,1402973,0,"Other State Program, Other Municipal Program",0.00 ac,1.61 ac,Not Applicable,0.12 ac-ft,0.11 ac-ft,0,Lower San Gabriel River,34.006668,-117.821715,0,0
Historic District Recreational Trails Project,Not Applicable,Artesia,Coyote Creek,"LID Retrofit, Bioretention",Bioretention,33.865571000000003,-118.09083200000001,Not Applicable,2020-04-02T00:00:00Z,100000,50000,Not Applicable,0.02 ac,2.27 ac,Not Applicable,0.28 ac-ft,0.04 ac-ft,2.592652,Lower San Gabriel River,33.865571,-118.090832,2.5926520000000002,2.5926520000000002
Joe Miller Field Toilet Rooms,Not Applicable,Whittier,Coyote Creek,"LID Retrofit, Bioretention",1 dry well,33.973253309999997,-118.0338122,Not Applicable,2013-08-08T00:00:00Z,208000,1500,Not Applicable,0.00 ac,0.03 ac,Not Applicable,0.50 ac-ft,0.00 ac-ft,0.124954,Lower San Gabriel River,33.97325331,-118.0338122,0.124954,0.124954
Lakewood Blvd Improvements (Phase 3C): Bioswale,Not Applicable,Downey,San Gabriel River,"Green Street, Bioretention",250-ft bioswale,33.956432999999997,-118.112797,Not Applicable,2019-06-30T00:00:00Z,0,1578,Not Applicable,0.01 ac,5.02 ac,Not Applicable,0.33 ac-ft,0.19 ac-ft,9.672871,Lower San Gabriel River,33.956433,-118.112797,9.6728710000000007,9.6728710000000007
Lakewood Blvd Improvements (Phase 3C): Infiltration Basin,Not Applicable,Downey,San Gabriel River,"Green Street, Bioretention","Underground infiltration basin accepting drainage from the east side of Lakewood Blvd, located within Dennis the Menace Park",33.956257000000001,-118.112003,Not Applicable,2019-06-30T00:00:00Z,0,844,Not Applicable,0.16 ac,4.43 ac,Not Applicable,2.34 ac-ft,0.45 ac-ft,13.286673,Lower San Gabriel River,33.956257,-118.112003,13.286673,13.286673
Median and Side Panel Turf Replacement Project,Not Applicable,Norwalk,Coyote Creek,"Green Street, Bioretention",1 bioswale,33.920774000000002,-118.07258899999999,Not Applicable,2018-10-01T00:00:00Z,70000,48000,Not Applicable,0.03 ac,1.72 ac,Not Applicable,0.38 ac-ft,0.02 ac-ft,6.286775,Lower San Gabriel River,33.920774,-118.072589,6.2867749999999996,6.2867749999999996
Oak Station Parking Lot,Not Applicable,Whittier,Coyote Creek,"LID Retrofit, Bioretention",Subsurface infiltration system,33.946159999999999,-118.019176,Not Applicable,2017-05-01T00:00:00Z,311909,1500,Other Municipal Program,0.01 ac,0.30 ac,Not Applicable,0.06 ac-ft,0.05 ac-ft,1.573136,Lower San Gabriel River,33.94616,-118.019176,1.5731360000000001,1.5731360000000001
Parking Lot Rehabilitation at Carlton Peterson Park,Not Applicable,Diamond Bar,Coyote Creek,"LID Retrofit, Biofiltration",1 biofiltration planter,33.981884000000001,-117.851851,Not Applicable,2016-01-18T00:00:00Z,476362.87,34300,Municipal General Fund,0.00 ac,0.73 ac,Not Applicable,0.03 ac-ft,0.03 ac-ft,4.274021,Lower San Gabriel River,33.981884,-117.851851,4.2740210000000003,4.2740210000000003
Pico Rivera Regional Bikeway Project (CIP 21280),Not Applicable,Pico Rivera,San Gabriel River,"Green Street, Biofiltration",1 Bioswale and 10 biofiltration planters,33.992232979999997,-118.0899845,Not Applicable,2024-11-08T00:00:00Z,6914615,0,"CalTrans, CA Natural Resources Agency, Other Municipal Program",162.90 ac,10.38 ac,Not Applicable,0.01 ac-ft,0.18 ac-ft,0,Lower San Gabriel River,33.99223298,-118.0899845,0,0
Proposition 84,Not Applicable,Santa Fe Springs,Coyote Creek,"LID Retrofit, Biofiltration",1 biofiltration planter,33.933363999999997,-118.063856,Not Applicable,2017-07-01T00:00:00Z,27160,0,Not Applicable,0.00 ac,1.00 ac,Not Applicable,0.17 ac-ft,0.17 ac-ft,2.257208,Lower San Gabriel River,33.933364,-118.063856,2.2572079999999999,2.2572079999999999
Proposition 84,Not Applicable,Santa Fe Springs,San Gabriel River,"LID Retrofit, Biofiltration",1 biofiltration planter,33.944139999999997,-118.072684,Not Applicable,2017-07-01T00:00:00Z,27160,0,Not Applicable,0.00 ac,1.00 ac,Not Applicable,0.18 ac-ft,0.17 ac-ft,5.027944,Lower San Gabriel River,33.94414,-118.072684,5.0279439999999997,5.0279439999999997
Proposition 84 (14335 Pioneer Blvd),Not Applicable,Norwalk,Coyote Creek,"Green Street, Biofiltration",1 biofiltration planter,33.900835000000001,-118.082673,Not Applicable,2017-07-01T00:00:00Z,27160,50000,Not Applicable,0.02 ac,1.00 ac,Not Applicable,0.41 ac-ft,0.17 ac-ft,4.646354,Lower San Gabriel River,33.900835,-118.082673,4.6463539999999997,4.6463539999999997
Proposition 84 (7740 Milton Ave),Not Applicable,Whittier,Coyote Creek,"Green Street, Bioretention",1 bioretention tree well,33.971229000000001,-118.039599,Not Applicable,2017-06-30T00:00:00Z,9035.09,750,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.01 ac-ft,0.01 ac-ft,0.523272,Lower San Gabriel River,33.971229,-118.039599,0.52327199999999996,0.52327199999999996
Proposition 84 (7748 Newlin Ave),Not Applicable,Whittier,Coyote Creek,"Green Street, Bioretention",1 bioretention tree well,33.970424000000001,-118.04058000000001,Not Applicable,2017-06-30T00:00:00Z,9035.09,500,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.01 ac-ft,0.01 ac-ft,0.523272,Lower San Gabriel River,33.970424,-118.04058,0.52327199999999996,0.52327199999999996
Proposition 84 (7751 Comstock),Not Applicable,Whittier,Coyote Creek,"Green Street, Bioretention",1 bioretention tree well,33.971091000000001,-118.038416,Not Applicable,2017-06-30T00:00:00Z,9035.09,750,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.01 ac-ft,0.01 ac-ft,0.523272,Lower San Gabriel River,33.971091,-118.038416,0.52327199999999996,0.52327199999999996
Proposition 84 (7751 Milton Ave),Not Applicable,Whittier,Coyote Creek,"Green Street, Bioretention",1 bioretention tree well,33.971108000000001,-118.039599,Not Applicable,2017-06-30T00:00:00Z,9035.09,750,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.01 ac-ft,0.01 ac-ft,0.523272,Lower San Gabriel River,33.971108,-118.039599,0.52327199999999996,0.52327199999999996
Proposition 84 (7907 Comstock),Not Applicable,Whittier,Coyote Creek,"Green Street, Bioretention",1 bioretention tree well,33.969154000000003,-118.03846799999999,Not Applicable,2017-06-30T00:00:00Z,9035.09,750,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.01 ac-ft,0.01 ac-ft,0.523272,Lower San Gabriel River,33.969154,-118.038468,0.52327199999999996,0.52327199999999996
Proposition 84 (7912 Comstock),Not Applicable,Whittier,Coyote Creek,"Green Street, Bioretention",1 bioretention tree well,33.969079999999998,-118.03847,Not Applicable,2017-06-30T00:00:00Z,9035.09,750,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.01 ac-ft,0.01 ac-ft,0.523272,Lower San Gabriel River,33.96908,-118.03847,0.52327199999999996,0.52327199999999996
Proposition 84 (7913 Milton Ave),Not Applicable,Whittier,Coyote Creek,"Green Street, Bioretention",1 bioretention tree well,33.969150999999997,-118.039599,Not Applicable,2017-06-30T00:00:00Z,9035.09,750,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.01 ac-ft,0.01 ac-ft,0.523272,Lower San Gabriel River,33.969151,-118.039599,0.52327199999999996,0.52327199999999996
Proposition 84 (7921 Newlin Ave),Not Applicable,Whittier,Coyote Creek,"Green Street, Bioretention",1 bioretention tree well,33.969127999999998,-118.040699,Not Applicable,2017-06-30T00:00:00Z,9035.09,750,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.01 ac-ft,0.01 ac-ft,0.523272,Lower San Gabriel River,33.969128,-118.040699,0.52327199999999996,0.52327199999999996
Proposition 84 (7939 Comstock),Not Applicable,Whittier,Coyote Creek,"Green Street, Bioretention",1 bioretention tree well,33.968756999999997,-118.038479,Not Applicable,2017-06-30T00:00:00Z,9035.09,750,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.01 ac-ft,0.01 ac-ft,0.523272,Lower San Gabriel River,33.968757,-118.038479,0.52327199999999996,0.52327199999999996
Proposition 84 (7951 Comstock),Not Applicable,Whittier,Coyote Creek,"Green Street, Bioretention",1 bioretention tree well,33.968488999999998,-118.038912,Not Applicable,2017-06-30T00:00:00Z,9035.09,750,"Municipal General Fund, CA State Proposition 84",0.00 ac,0.45 ac,Not Applicable,0.01 ac-ft,0.01 ac-ft,0.523272,Lower San Gabriel River,33.968489,-118.038912,0.52327199999999996,0.52327199999999996
Proposition 84 (Barlin and Cheyenne),Not Applicable,Downey,San Gabriel River,"Green Street, Biofiltration",1 biofiltration planter,33.913908999999997,-118.144007,Not Applicable,2017-06-30T00:00:00Z,27160,281.60000000000002,"Municipal General Fund, CA State Proposition 84",0.00 ac,1.00 ac,Not Applicable,0.18 ac-ft,0.17 ac-ft,4.284326,Lower San Gabriel River,33.913909,-118.144007,4.2843260000000001,4.2843260000000001
Proposition 84 (Faust and Foster),Not Applicable,Downey,San Gabriel River,"Green Street, Biofiltration",1 biofiltration planter,33.910055,-118.115066,Not Applicable,2017-06-30T00:00:00Z,27160,281.60000000000002,"Municipal General Fund, CA State Proposition 84",0.00 ac,1.00 ac,Not Applicable,0.18 ac-ft,0.17 ac-ft,4.284326,Lower San Gabriel River,33.910055,-118.115066,4.2843260000000001,4.2843260000000001
Proposition 84 (Firestone Blvd),Not Applicable,Downey,San Gabriel River,"Green Street, Biofiltration",1 bioswale,33.933515,-118.11908,Not Applicable,2017-06-30T00:00:00Z,275547,281.60000000000002,"Municipal General Fund, CA State Proposition 84",0.04 ac,5.00 ac,Not Applicable,0.75 ac-ft,0.27 ac-ft,18.389877,Lower San Gabriel River,33.933515,-118.11908,18.389876999999998,18.389876999999998
Proposition 84 (Imperial and Volunteer),Not Applicable,Norwalk,Coyote Creek,"Green Street, Biofiltration",1 biofiltration planter,33.917234999999998,-118.06893700000001,Not Applicable,2017-07-01T00:00:00Z,27160,50000,Not Applicable,0.02 ac,1.00 ac,Not Applicable,0.41 ac-ft,0.17 ac-ft,6.76522,Lower San Gabriel River,33.917235,-118.068937,6.7652200000000002,6.7652200000000002
Proposition 84 (Pangborn and Firestone),Not Applicable,Downey,San Gabriel River,"Green Street, Biofiltration",1 biofiltration planter,33.930655000000002,-118.113725,Not Applicable,2017-06-30T00:00:00Z,27160,281.60000000000002,"Municipal General Fund, CA State Proposition 84",0.00 ac,1.00 ac,Not Applicable,0.18 ac-ft,0.17 ac-ft,4.284326,Lower San Gabriel River,33.930655,-118.113725,4.2843260000000001,4.2843260000000001
Savage Canyon Landfill,Not Applicable,Whittier,Coyote Creek,"LID Retrofit, Bioretention",2 retention basins,33.977924999999999,-118.021075,Not Applicable,2018-01-01T00:00:00Z,350000,155000,Municipal General Fund,1.58 ac,9.00 ac,Not Applicable,1.63 ac-ft,0.93 ac-ft,24.053819,Lower San Gabriel River,33.977925,-118.021075,24.053819000000001,24.053819000000001
Town Center Plaza Improvement Project,Not Applicable,Santa Fe Springs,San Gabriel River,Other (specify),Infiltration Chambers,33.946139000000002,-118.084253,Not Applicable,2021-06-16T00:00:00Z,175000,0,Not Applicable,0.02 ac,2.00 ac,Not Applicable,0.27 ac-ft,0.03 ac-ft,NA,Lower San Gabriel River,33.946139,-118.084253,3.0001E-2,3.0001-2
Uptown Whittier Parking Lot,Not Applicable,Whittier,Coyote Creek,"LID Retrofit, Biofiltration",7 planter boxes,33.980105000000002,-118.038312,Not Applicable,2022-03-29T00:00:00Z,9200000,1500,Other Municipal Program,0.06 ac,0.96 ac,Not Applicable,0.17 ac-ft,0.11 ac-ft,1.129078,Lower San Gabriel River,33.980105,-118.038312,1.129078,1.129078
Whittier Greenway Trail Eastern Extension,Not Applicable,Whittier,Coyote Creek,"LID Retrofit, Bioretention",54 Infiltration trenches,33.946488000000002,-118.019819,Not Applicable,2023-04-19T00:00:00Z,8124983,1500,Other Municipal Program,0.49 ac,4.63 ac,Not Applicable,0.78 ac-ft,0.29 ac-ft,0.497289,Lower San Gabriel River,33.946488,-118.019819,0.49728899999999998,0.49728899999999998
Wilderness Park Restoration Project,Not Applicable,Downey,San Gabriel River,Other (specify),Restoration of two wetland ponds with pond improvements and planting of wetland and native vegetation.,33.936395760000003,-118.1006398,Not Applicable,2020-11-01T00:00:00Z,5430000,66870,"Municipal General Fund, CA State Proposition 1, CA State Proposition 84, Other State Program",2.00 ac,0.00 ac,Not Applicable,24.19 ac-ft,0.00 ac-ft,0,Lower San Gabriel River,33.93639576,-118.1006398,0,0
Gates Canyon Stormwater Improvements Project,LVC-14; Gates Canyon,"Unincorporated LA County, Calabasas",Stokes & Las Virgenes Creek,Regional Treatment Facility,The Project will divert stormwater and urban runoff into infiltration wells and underground storage and water treatment system for onsite landscape irrigation reuse. The Project will include above ground park improvements and educational signage.,34.161009999999997,-118.69221,46218,2023-06-14T00:00:00Z,12877000,426331.45,"Municipal General Fund, CA State Proposition 1",0.37 ac,105.00 ac,3.50 ac-ft,3.50 ac-ft,3.50 ac-ft,3.532648,Malibu Creek,34.16101,-118.69221,3.532648,3.532648
Las Virgenes Road Green Street Project,Not Applicable,Calabasas,Stokes & Las Virgenes Creek,"Green Street, Biofiltration","The project will incorporate a variety of LID BMPs like bio-filtration systems, bio-swales, and installation of pervious surfaces to this portion of Las Virgenes Road in the City of Calabasas. Unpaved street shoulders are being improved with vegetation swales and tree-well filter systems. The project will grade the shoulder area, install 7- to 10-foot wide vegetated swales with native plants to capture the runoff and, at the same time, to help filter pollutants and rainwater into the ground. The swale, which is approximately 1,600 ft long on the shoulder located on the west side of the road, will serve as a pretreatment BMP that will capture and treat surface flows from the street.The Green Street Citywide Project includes retrofitting various locations around the City in include LID BMPs, Las Virgenes Road is the first phase of this project.",34.165649000000002,-118.70262700000001,Not Applicable,2024-11-15T00:00:00Z,5520000,0,Not Applicable,3.65 ac,17.45 ac,Not Applicable,36.78 ac-ft,0.28 ac-ft,NA,Malibu Creek,34.165649,-118.702627,1.1228999999999999E-2,1.1228999999999999-2
Lindero Linear Park,Not Applicable,Westlake Village,Lindero Creek,"LID Retrofit, Biofiltration",Linear bioswale along walking path,34.159855,-118.79073099999999,Not Applicable,2019-09-25T00:00:00Z,4300000,19500,Municipal General Fund,1.99 ac,1.99 ac,0.19 ac-ft,1.50 ac-ft,0.19 ac-ft,3.162703,Malibu Creek,34.159855,-118.790731,3.162703,3.162703
Mureau Rd at Mountain View Dr,Not Applicable,Unincorporated LA County,Stokes & Las Virgenes Creek,"Green Street, Bioretention",bioretention feature with curb cutouts to capture stormwater runoff,34.152262999999998,-118.68639,Not Applicable,2018-10-25T00:00:00Z,200000,140687.6,"Other State Program, Other Municipal Program",1.54 ac,5.50 ac,Not Applicable,3.05 ac-ft,2.12 ac-ft,33.818674,Malibu Creek,34.152263,-118.68639,33.818674000000001,33.818674000000001
Rondell Smart Park,Not Applicable,Calabasas,Stokes & Las Virgenes Creek,"LID Retrofit, Biofiltration",The project included the installation of a debris capture basin and biofiltration system for storm water runnoff.,34.146273000000001,-118.69749899999999,Not Applicable,2021-11-21T00:00:00Z,3844145.25,0,Not Applicable,1.66 ac,34.78 ac,Not Applicable,0.93 ac-ft,0.02 ac-ft,17.90089,Malibu Creek,34.146273,-118.697499,17.90089,17.90089
Marina del Rey Biofiltration in Parking Lot 10,Not Applicable,Unincorporated LA County,Subwatershed 1a,"LID Retrofit, Biofiltration","This project consisted of retrofitting an existing parking lot based on the multi-pollutant implementation plan developed in 2011. The retrofitting incorporated various BMPs such as bioretention planters, filter units, and porous pavement. This parking lot project was intended to treat runoff coming from the County facilities before it enters the harbor.",33.981250000000003,-118.459056,Not Applicable,2018-10-24T00:00:00Z,174000,0,Municipal General Fund,0.03 ac,2.10 ac,Not Applicable,0.08 ac-ft,0.08 ac-ft,7.655132,Marina Del Rey,33.98125,-118.459056,7.655132,7.655132
Marina del Rey Bioretention in Parking Lot 45,Not Applicable,Unincorporated LA County,Subwatershed 1b,"LID Retrofit, Bioretention","This project consisted of retrofitting an existing parking lot based on the multi-pollutant implementation plan developed in 2011. The retrofitting incorporated various BMPs such as bioretention planters, filter units, and porous pavement. This parking lot project was intended to treat runoff coming from the County facilities before it enters the harbor.",33.978833000000002,-118.442972,Not Applicable,2020-04-01T00:00:00Z,180000,0,Municipal General Fund,0.00 ac,0.60 ac,Not Applicable,0.24 ac-ft,0.22 ac-ft,2.23107,Marina Del Rey,33.978833,-118.442972,2.2310699999999999,2.2310699999999999
Marina del Rey Lloyd Taber Library Parking Lot Water Quality Enhancement Project,Not Applicable,Unincorporated LA County,Subwatershed 1a,Other (specify),The parking lot at the library facility in MdR has been retrofitted based on the multi-pollutant implementation plan developed in 2011 for MdR. The retrofitting incorporated a membrane filtration system. The goal of these parking lot projects is to treat runoff coming from the County facilities before it enters the harbor.,33.982658999999998,-118.443449,Not Applicable,2017-12-18T00:00:00Z,378000,46505.05,Municipal General Fund,0.00 ac,0.61 ac,Not Applicable,0.04 ac-ft,0.04 ac-ft,2.4631,Marina Del Rey,33.982659,-118.443449,2.4630999999999998,2.4630999999999998
Marina del Rey Parking Lot 5 Water Quality Enhancement Project,Not Applicable,Unincorporated LA County,Subwatershed 1a,"LID Retrofit, Biofiltration",Parking lots 5 & 7 in MdR have been retrofitted based on the multi-pollutant implementation plan developed in 2011 for MdR. The retrofitting incorporated various BMPs such as bioretention planters and biofiltration systems. The goal of these parking lot projects is to treat runoff coming from the County facilities before it enters the harbor.,33.982433,-118.44291,Not Applicable,2015-01-29T00:00:00Z,600000,20800,Municipal General Fund,0.03 ac,1.89 ac,Not Applicable,0.23 ac-ft,0.23 ac-ft,13.065948,Marina Del Rey,33.982433,-118.44291,13.065948000000001,13.065948000000001
Marina del Rey Parking Lot 7 Water Quality Enhancement Project,Not Applicable,Unincorporated LA County,Subwatershed 1a,"LID Retrofit, Bioretention",Parking lots 5 & 7 in MdR have been retrofitted based on the multi-pollutant implementation plan developed in 2011 for MdR. The retrofitting incorporated various BMPs such as bioretention planters and biofiltration systems. The goal of these parking lot projects is to treat runoff coming from the County facilities before it enters the harbor.,33.985182000000002,-118.451707,Not Applicable,2015-01-29T00:00:00Z,370000,0,Municipal General Fund,0.20 ac,0.85 ac,Not Applicable,0.08 ac-ft,0.18 ac-ft,4.426425,Marina Del Rey,33.985182,-118.451707,4.4264250000000001,4.4264250000000001
Marina del Rey Parking Lot 9 Water Quality Enhancement Project,Not Applicable,Unincorporated LA County,Subwatershed 1a,"LID Retrofit, Biofiltration","Parking Lot 9 in MdR has been retrofitted based on the multi-pollutant implementation plan developed in 2011 for MdR. The retrofitting incorporated various BMPs such as bioretention planters, biofiltration systems, and porous pavement. The goal of these parking lot projects is to treat runoff coming from the County facilities before it enters the harbor.",33.982497000000002,-118.456108,Not Applicable,2017-12-05T00:00:00Z,1672000,20800,Municipal General Fund,0.07 ac,1.58 ac,Not Applicable,0.13 ac-ft,0.13 ac-ft,6.920693,Marina Del Rey,33.982497,-118.456108,6.920693,6.920693
Oxford Basin Multi-Use Enhancement Project,Not Applicable,Unincorporated LA County,Subwatershed 4,Other (specify),"Designed to enhance flood protection, reduce runoff pollution, and improve the quality of plant and wildlife habitat within the facility. The project has provided new recreational and safety amenities: walking path, observation areas, wildlife-friendly lighting, and tubular fencing. The project is expected to improve water quality by increasing circulation and dissolved oxygen levels of the water in the basin via a circulation berm.",33.985529999999997,-118.45523,Not Applicable,2016-09-11T00:00:00Z,11600000,1390653.2,"Municipal General Fund, CA State Proposition 84",10.70 ac,616.70 ac,Not Applicable,57.98 ac-ft,57.98 ac-ft,123.627791,Marina Del Rey,33.98553,-118.45523,123.627791,123.627791
Broad Beach Biofiltration Project,N/A,City of Malibu,N/A,Other – Biofiltration,"The Broad Beach Biofiltration Project, completed in 2015 by the City of Malibu, consists of nine stormwater quality catch basins on Broad Beach Road in the City of Malibu. Stormwater runoff from 12.3 acres of single family residential property is treated via flow through biofiltration BMPs. The project also improved public access and parking; included native plants and habitat improvement; and increased water conservation via water reuse.",34.034408999999997,-118.8514,N/A,2015-06-30T00:00:00Z,$2.5M,N/A,Proposition 84,N/A,12.3,N/A,N/A,N/A,NA,North Santa Monica Bay,34.034409,-118.8514,N/A,
Legacy Park,N/A,City of Malibu,Malibu Creek,Other - Detention,"The City constructed the Civic Center Stormwater Treatment Facility (SWTF) and Legacy Park, in 2006 and 2010 respectively, to divert drains in the Civic Center area that capture runoff from the 337-acre subwatershed (a portion of the Malibu Creek Watershed) that would otherwise discharge to lower Malibu Creek and Lagoon. Malibu Creek Watershed is about 80% undeveloped, with a land use mixture of 13% residential, 4% commercial, and 3% agricultural. Flows from runoff are detained in the 8-acre-foot pond in the park, then filtered and disinfected through ozonation by the SWTF for use in irrigation or to be circulated back to the detention pond. This has resulted in the diversion of all Los Angeles County and City MS4 drains that could otherwise potentially affect water quality at sampling sites at Surfrider Beach and adjacent areas. Because of this system, there is no discharge to lower Malibu Creek and Lagoon, except in extreme circumstances where treated flows exceed the capacity of the detention pond, which would generally occur during large back-to-back storm rain events that exceed the 85th percentile and when irrigation water cannot be used. Even then, only treated water would be discharged to the County box culvert and to the Creek. ",34.035356999999998,-118.68850500000001,N/A,2010-10-02T00:00:00Z,$35M,390000,"State, County, and Private Grants, Proposition Funding, Private Donations, and Municipal General Fund",15 ac,330 ac,N/A,7.9,8 ac-ft,NA,North Santa Monica Bay,34.035357,-118.688505,N/A,
Marie Canyon Distributed BMP,N/A,City of Malibu,Marie Canyon,Green Street - Biofiltration,The Enhanced Watershed Management Program identified the Marie Canyon as an area for the installation of biofilters and other devices to capture and treat stormwater and comply with the City’s MS4 Discharge Permit TMDL requirements. The project will install catch basin inserts in the existing catch basins in the Malibu Country Estates neighborhood to meet the MS4 discharge requirements.,34.035448000000002,-118.709819,45473,2023-04-26T00:00:00Z,"$423,000 ",N/A,"Safe, Clean Water",N/A,93 ac,0.10 ac-ft,NA,0.10 ac-ft,0,North Santa Monica Bay,34.035448,-118.709819,0,0
Malibu Road Biofiltration ,N/A,City of Malibu,Marie Canyon,Green Street,The Enhanced Watershed Management Program identified the Marie Canyon as an area for the installation of biofilters and other devices to capture and treat stormwater and comply with the City’s MS4 Discharge Permit TMDL requirements. The project consisted of biofilter to meet the MS4 discharge requirements.,34.030309199999998,-118.70572730000001,N/A,2023-04-24T00:00:00Z,"$10,000 ","$3,000 ",General Fund,1.4999999999999999E-2,22.00 ac,N/A,0.003 ac-ft,1E-3,NA,North Santa Monica Bay,34.0303092,-118.7057273,N/A,
Marie Canyon Treatment Facility,N/A,Los Angeles County Flood Control District,Marie Canyon,Regional Treatment Facility,The Marie Canyon Treatment Facility was completed in 2007 with the support of the City of Malibu. The Project is designed to treat up to 100gpm of dry and wet weather runoff at the Marie Canyon drain using UV treatment to address bacteria.,34.031103000000002,-118.711017,N/A,2007-10-01T00:00:00Z,$1.3M,N/A,Municipal General Fund; Other State Program,N/A,515 ac,N/A,2E-3,0.002 ac-ft,NA,North Santa Monica Bay,34.031103,-118.711017,N/A,
Paradise Cove Treatment Facility,N/A,City of Malibu,Ramirez,Regional Treatment Facility,"The Paradise Cove Stormwater Treatment Facility was completed in 2010 to treat runoff from the Ramirez Canyon watershed. This watershed is 78% undeveloped, with 2.3% high density residential development and 18.5% low density residential development focused in the bottom third of the watershed. Several years of data show that water discharging from the outlet of the facility (diverted and treated creek water at a privately-owned channelized portion of the creek) consistently exhibits testing results for FIB below or close to the laboratory method detection limits. The treatment facility has a total treatment capacity of 3,600 gpm for gross solids and sediment removal and up to 900 gpm capacity for disinfection. The treatment facility was designed to meet the WQOs set forth in the SMBB Bacteria TMDL for summer and winter dry weather, and wet weather periods for all but the wettest of rainfall years. Flow monitoring in the channel upstream of the facility in the first wet season post-construction showed that the facility has the capacity to treat all dry weather flows and most wet weather events, with highest flows peaking around 4,000 gpm with some isolated un-sustained peaks of 10,000 gpm or greater.",34.020555000000002,-118.786867,N/A,2010-06-28T00:00:00Z,"$1,089,395 ","$23,479 ","Proposition 40, American Recovery and Reinvestment Act, City Match",0.02,"2,153 ac",N/A,3,3 ac-ft,NA,North Santa Monica Bay,34.020555,-118.786867,N/A,
Trancas Canyon Park BMP,N/A,City of Malibu,Trancas,Other - Biofiltration,"The construction of Trancas Canyon Park in 2010 included bioretention BMPs to capture and treat runoff from approximately 13.5 acres of land. This project was modeled as a bioretention BMP designed to capture and treat runoff from the SUSMP design storm (0.75-inch storm), which is greater than the 85th percentile, 24-hour storm in this area (0.65-inch). ",34.039706000000002,-118.845738,N/A,2010-07-01T00:00:00Z,Itemized Capital Cost is not available ,Itemized O&M Cost is not available ,"Quimbty Funds, Proposition 40, Trancas Canyon Park Designated Reserve, and Municpal General Fund",1.2,22 ac,N/A,1,0.27 ac-ft,NA,North Santa Monica Bay,34.039706,-118.845738,N/A,
Wildlife Road Storm Drain Improvements,N/A,City of Malibu,N/A,Other – Biofiltration,In 2015 the City of Malibu completed installation of four Filtra (biofiltration) units and two bioswales along Wildlife Road and Whitesands Place in the residential neighborhood northeast of Point Dume State Beach. ,34.013537999999997,-118.79432,N/A,2015-06-30T00:00:00Z,"$540,000 ",N/A,Proposition 84,N/A,7.9 ac,N/A,N/A,0.05 ac-ft,NA,North Santa Monica Bay,34.013538,-118.79432,N/A,
Winter Canyon Distributed BMP,N/A,City of Malibu,Topanga,Other – Biofiltration,This project included the installation of pre-manufactured biofilters on Civic Center Way.,34.03651,-118.69826,N/A,2015-06-30T00:00:00Z,$5.2M,N/A,Measure R,"3,600 ft",21.9 ac,N/A,N/A,N/A,NA,North Santa Monica Bay,34.03651,-118.69826,N/A,
